电影名称,平均情感得分,正面比例,中性比例,负面比例,上映年份
人潮汹涌,0.8381376262626262,0.797979797979798,0.07828282828282829,0.12373737373737374,2021
你好，李焕英,0.8597168765743073,0.8312342569269522,0.05793450881612091,0.11083123425692695,2021
刺杀小说家,0.8436215,0.8075,0.0775,0.115,2021
唐人街探案3,0.6537118090452262,0.585427135678392,0.09547738693467336,0.31909547738693467,2021
新神榜：哪吒重生,0.8556520000000001,0.815,0.0775,0.1075,2021
熊出没·狂野大陆,0.8328817042606516,0.7769423558897243,0.12030075187969924,0.10275689223057644,2021
四海,0.7822817499999999,0.72,0.115,0.165,2022
长津湖之水门桥,0.83421075,0.785,0.095,0.12,2022
这个杀手不太冷静,0.777165,0.728125,0.090625,0.18125,2022
喜羊羊与灰太狼之筐出未来,0.834395652173913,0.7698209718670077,0.1432225063938619,0.08695652173913043,2022
狙击手,0.86041125,0.8125,0.085,0.1025,2022
奇迹·笨小孩,0.8602785000000001,0.805,0.0975,0.0975,2022
熊出没·重返地球,0.8546713136729223,0.8150134048257373,0.10723860589812333,0.0777479892761394,2022
满江红,0.766918,0.705,0.125,0.17,2023
交换人生,0.7686167500000001,0.6925,0.1325,0.175,2023
"熊出没·伴我""熊芯""",0.8844092307692307,0.8512820512820513,0.09230769230769231,0.05641025641025641,2023
深海,0.8365825,0.7975,0.065,0.1375,2023
流浪地球2,0.8250920918367347,0.7882653061224489,0.0663265306122449,0.14540816326530612,2023
无名,0.6711142131979695,0.6091370558375635,0.1065989847715736,0.28426395939086296,2023
我们一起摇太阳,0.879019,0.8475,0.07,0.0825,2024
热辣滚烫,0.87394,0.85,0.055,0.095,2024
熊出没·逆转时空,0.81836425,0.765,0.0975,0.1375,2024
飞驰人生2,0.8020737913486005,0.7506361323155216,0.09669211195928754,0.15267175572519084,2024
第二十条,0.7835585,0.7275,0.1125,0.16,2024
红毯先生,0.8450637974683545,0.8050632911392405,0.07088607594936709,0.1240506329113924,2024
哪吒之魔童闹海,0.7849196473551636,0.7380352644836272,0.0906801007556675,0.1712846347607053,2025
射雕英雄传：侠之大者,0.850120351758794,0.8140703517587939,0.07788944723618091,0.10804020100502512,2025
熊出没·重启未来,0.87728675,0.8225,0.12,0.0575,2025
封神第二部：战火西岐,0.7833549999999999,0.745,0.09,0.165,2025
蛟龙行动,0.7264370927318297,0.6616541353383458,0.09523809523809523,0.24310776942355888,2025
唐探1900,0.84159025,0.8075,0.0675,0.125,2025
镖人,0.8540340000000001,0.8125,0.0975,0.09,2026
熊出没：年年有熊,0.8166093670886075,0.7822784810126582,0.08354430379746836,0.1341772151898734,2026
惊蛰无声,0.7180959493670885,0.6329113924050633,0.1240506329113924,0.2430379746835443,2026
夜王,0.857707614213198,0.8324873096446701,0.06598984771573604,0.10152284263959391,2026
飞驰人生3,0.79616825,0.74,0.1025,0.1575,2026
